Reviewer,Title,Review,Rating
Mike089MUC,Budget hotel at a classy location,I settled on the River Hotel based on its location – it was just so handy for everything. People may find it hard to believe but price was also a big factor in my decision making. I was going to be in Chicago for a week with my daughter and when I started looking at prices for 2 rooms in a hotel it actually worked out better for me to book a suite that we could share. I should point out that I booked it directly with the hotel to get a better price. Our suite had two beds in separate areas – they didn’t have doors but they were arranged to give plenty of privacy. There was also two bathrooms and a kitchen area. Although there was a coffee machine in the room there was also a coffee area in the hotel that you could access at any time. Another nice touch was free wine at 5 pm,3
jannatjjennipher,Deduction of my money from my credit card twice instead of once. First.deduction was 1520 dollars then 1250 dollars,I stayed here for the weekend. I arrived early and they let me check in early. They offered me either a room with a double bed with minimal view or a queen with no view. I went for the queen bed. I’m okay with small hotels room if you don’t prefer them then you won’t like this one. And I was okay with out a view because when you step outside it’s right on the river. I will say the rooms are out dated. But it was clean! I stayed here for the location. It was a short walk to Millennial Park and the Magnificent Mile. I also want to mention if you use Lyfts or Uber’s the location is hard for them to find. Not sure why but it gave every driver I had a problem.,5
GrandTour677004,Chicago River,"We write what we see and experience to hopefully help other out. Short version - Good - Location is brilliant with everything on your doorstep. View from our room was outstanding, right across from Trump Tower. Bad - it looks like its been squeezed in between two very nice hotels, one of which has a rooftop bar. Its very basic with no restaurant/bar, and the room we had was very small - see photos - Over all we didn't think it was worth the price because you could get a better hotel nearby at the same price or cheaper if you went further afield. Long version - Our first time in Chicago so the location of this hotel was the thing that stood out for us. not only was it on the river but the things we had booked and wanted to see/explore were within walking distance from it. This",5
L2349FFannas,Lovely hotel,"A simple but nice and comfortable hotel in the middle of the action Small rooms but clean and ok Friendly staff and easy handling WiFi was good and fast No breakfast, but there are plenty of possibilities just around the corner Nice stay , would like to repeat it",3
Elaine Z,Accommodations,All that amount is minus deposit back I am too disappointed didint expect this too happen I need that money back ASAP in my account please ..I contacted my bank and it said money went off my account by club quarters..,2
Christopher F,A gem in Chicago with great value!,"The trip was spectacular, the room and hotel could used a bit of upgrading. the front desk representatives were amazing. Always there to assist. Very courteous and friendly. The hotel was centrally located to all the sites we wanted to see.",1
soniasalhi,"Good location, good hotel",I picked a hotel near the river and was happy with this random selection I made. Room suites were great. Front desk staff was awesome. We also were able to check our luggage in and go sightseeing before departing. I enjoyed the two bathrooms and also that there was space between both bed areas.,3
Carthagean,Good hotel in Chicago,"We booked this hotel based on proximity to the Chicago Theater because we were attending a concert there. Very pleasant staff. We requested a room with a view of the River and when we checked in, we did have the view (of TRUMP tower btw lol) but the room was tiny! No fridge, no microwave and we had to maneuver around each other as the closet and bathroom doors cannot be open at the same time. Small bathrooms of note. No room service. However, when we asked about whether or not a microwave was available, the extremely pleasant and helpful front desk agent offered to upgrade our room with a microwave, fridge, and the same view, one floor above. They offered to transfer our luggage and settle us in. The new room was larger and much less confining. Things you should know",4
Ted R,"Thoughtful management, central location, reasonable rates","The staff was very friendly and welcoming. Sierra in particular at the front desk was a bright light who provided us with so much information about best routes to take as well as restaurant tips over the course of our 4 day stay. She always seemed to be available when we needed help. Pedro and Emily also stand out, as well as others whose names we cannot recall. The location was terrific--overlooking the river (hence the name) with lots of great restaurants and sights within walking distance and very close to buses and trains. Complimentary coffee, water, snacks, fresh fruit, as well as a wine and cheese happy hour on weeknights! Our room was comfy and had plenty of space for the two of us.",5
Maureen G,Staycation,air con is hard to handle at first but i guess i could have asked for help good location bed is comfy bathroom is big but bedroom is a bit small not convenient to watch TV as it is facing a wall and you have to position it yourself to face the bed,3
Mike N,The Hotel,I enjoyed my stay in River hotel in magnificent mile in Chicago. Hotel is centrally located in downtown Chicago across from major sites and river. Hotel room was small but clean. Staff was helpful. The car garage parking was expensive at $59/night however that is the standard in Chicago,3
DanO68,Ideal location in the city center. Great hotel!!,My partner and i enjoyed the attractive lobby and our 21st floor room with clean spacious bathroom. A rare hotel where the thermostat is simple to operate. Another helpful rarity: hooks on the wall and the bathroom door. And every hotel should store irons and ironing boards as River Hotel does in a hallway closet instead of cluttering the room. We also appreciated the rack of self-serve water bottles facing the elevator on every floor. Ditto the late afternoon happy hour in the lobby. I'd only recommend they keep a list of neighborhood dining at reception desk.,5
ZapCa,Location you can't beat!,Staff very friendly and accommodating. Found the location to be ideal for Chicago's Riverwalk and boat trips. Had enough staff on hand when questions were on hand. Was happy that we didn't have to use phone as a key.,5
Newmania,Excellent location and a comfortable stay,"Love the easy check in and out, especially using the app. Very clean rooms. Good staff and right in the middle of Chicago. Good restaurants nearby. Valet parking was quick. Free coffee and nice lounge area. Fast elevators.",3
NPHarper,Perfect hotel for weekend getaway in Chicago,"All-around great experience at this hotel. It is well located in the heart of the city center, and right across the road from the river and associated River Walk. Only about a 15min walk down to the lake. It was easy to get to and find, easily accessed from a number of nearby train stations coming from the airport. The team at reception was awesome – very friendly and helpful and got us checked in and scoped out very quickly. We had an amazing room overlooking the river and across to Trump Tower. The room was luxurious - very big, bright, and airy with everything you’d expect from a hotel of this caliber. The bed was very comfortable, there was little if any road noise, so we had a great few sleeps. The free Wifi internet was good and fast and there was a chilled water dispenser",2
tuncborcbakan,Excellent Location in Chicago,"The location of the hotel is not just 10, but 100! Thought if it everytime i went back to the hotel after sightseeing. The building is of 1920's but it's very well kept. We stayed on the 35 floor!!! Gorgeous views of the city!!! Just wow!!! Rearly get those! If you are on the other side - you are facing Chicago River and Trump Tower, which us another wow view!! The room itself was very tiny, that's the only drawback, but other than that it is clean, nicebedding, etc. Filtered water on floors, snacks and coffee on the second floor (always)!!! Amazing stay! The big bus tour bus stop #1 is just across the hotel entrance - again +100 points!!! The parking is crazy expensive - $53 per day, but it's like that everywhere in tbe vicinity, even more expensive. It's inly valet parking, so",1
Greg,Great location and great views,"A group of us spent four nights at this hotel. We were pleased with our spacious executive suite accommodations. The beds were very comfortable. Housekeeping service was efficient and kept us well-supplied with towels and toiletries. The location is outstanding- many restaurants and attractions are within a reasonable walking distance. Our suite was near the back of the building, so we were not disturbed by a lot of street noise at night. The elevators were available with very little wait. The bell stand staff were friendly and helpful arranging transportation. Very few (fixable) problems- one bedroom did not cool off at night and the deadbolt lock on the outer door was stripped. The attached restaurant is closed, but there are two places next door for breakfast. I would",3
Coastal63143695113,Unique hotel/great location,"I’m so happy I chose this hotel. The location was absolutely perfect. We were able to walk everywhere we wanted to go quite easily. The staff were friendly and professional. The hotel itself was spotlessly clean. Our room was modern and airy, yet homey. I will definitely return to this hotel.",4
cassidynbear,"Very classy, free water bottles, but small room and slow elevators",Location was excellent. In the middle of all places we wanted to visit. Staff was nice and helpfull. Complimentary coffee and bottled water was lifesaver during the extreme hot days in July 2019. Room was OK. We stayed at 29. floor. Elevator waiting times were sometimes too long.,5
lynnM8090PI,Very Nice Hotel,"Great location to the North and city. Was able to walk to all attractions or a quick uber down to Sears tower. Was on level 33 and had great views down the river and of Trump tower. Room had a small fridge and tv in it (which we didn't need to use much). Bed was comfy, and enough space in the room for both of us.",3
arenae23,"Hard bed, hard feelings","The deluxe double-double room was fantastic for 2 female friends to share. Each of us had our own bathroom with a slight separation (but no doors) between where the two beds were. Amazing views of the river in these double-double rooms. There is currently no restaurant, but that was okay for us.",3
Kosta F,Comfortable and clean,"The hotel itself is very nice and classy and it was SO nice having endless complimentary water bottles, but the elevator took very long to get us to/from our room on the 23rd floor. Had to take steps.",5
Patrick G,"Excellent Location, View, and Rooms",Liked the hotel. Front desk was always friendly. Liked that they had free water bottles that you could refill out in hallway by the elevator. Clean room..also liked the location. Would go back to this hotel.,5
annierl,Chicago Vacation,"The bed was so hard, I didn't get any rest for 3 days. The sheets felt like paper. It was really uncomfortable and left my body aching. They didn't tell me they upgraded me! Not at all worth the money",3
TravelingWonton,Great location & good rooms for price (through RCI),Stayed for three nights and really appreciated the comfortable room. Location is very convenient. Everything was great. The cleaning staff did a great job of keeping the room well maintained and clean: thank you Joclyn.,2
Jessica K,Downhill since 2016...prices increased though,"We stayed in the ""River Hotel"" part of the property, which seems to be separate from the Club Quarters Hotel. We were very happy with the outstanding location on the river, the quality and size of the rooms, the service, the evening free wine, the overall cost/benefit, and so much more. The only thing that was a tiny bit uncomfortable with our room, it there is just an external sliding frosted glass door that separates the main room from the bathroom, with little soundproofing, so it's best if you're pretty comfortable with your partner, otherwise there could be some embarrassing moments. On check-in, I asked for a room high up, facing the river, and got it. But, the room directly faced a building with the Trump name on it, in very giant letters (surprise!), which unsettled",1
John F,Great downtown location at value price,"The location of the River hotel could not be more perfect. The staff was friendly and the room was spotless. However, we will not be staying there again. We stayed in the upper tower on the 30th floor. It was a hot weekend in Chicago and the AC did not work well at all. We stayed three nights and I did not sleep well b/c I woke up hot multiple times throughout the night. The room would cool better during the day than at night which makes no sense. My husband and I wondered if the hotel had some sort of control over the thermostats at night. Everything else was perfect. If you do not care much about being cool, then this hotel is quite nice!",3
Meander59323016751,loveeeeee this hotel,"Stayed here early July for birthday celebrations. We booked through RCI and specifically selected a room with a waterfront view (called hotel to confirm). The hotel must’ve overbooked because when we checked in, they said that they “upgraded” our room, it was on the 3rd floor with an interior view. Not at ALL what we booked. We called down, and they were sold out that night, however they moved us the next day (moved our luggage for us) to a room on the 7th floor with a fabulous river view! The location is fabulous for tourists. Walking distance to nearly everything!",4
Annabrajkovic,Amazing location - will come back,"We were led to believe a kitchenette suite could sleep four. It certainly could not. The couch cot was so tiny it barely fit my toddler. An adult would not be able to sleep on it, let alone two. We had two adults and a toddler in the room and it felt crowded, partially because of the double bed for us. The bathroom is tiny and does not have a tub. The air didn’t work well in any room (we were with two other couples all on different floors). They kept snacks out last time we were there three years ago, but definitely skimped this time. There were only two pillows on the beds, and the elevators took literally 15 minutes to call. It increased in price but decreased in quality, so it was disappointing overall. Also, we were given a voucher for an upgrade but it was not available",5
Anthony K,Great downtown location for this Club Quarters hotel,Old office building on Wacker just off Michigan Ave that has been converted to a nice hotel. Great location for exploring the newly opened river walk. Everything was spotlessly clean and quiet. Happy hour wine reception in the lobby for all guests.,3
Yasmine S,Amazing experience!,"I had a room with a queen bed just booked for one person for one night and was very impressed with the size of the room, the view, and the many amenities offered. The TV was very nice with a lot of different features and options, there were refreshment available for breakfast and when I checked in in the evening as well as water bottles available on my floor at all times. I will definitely be staying at this hotel next time I come to Chicago.",3
Anne S,Great hotel in the perfect location!!,"I was so happy to choose this hotel since the location in amazing. I didnt even use public transportation in Chicago (everything, meaning main attractions, was in close walking distance) except from trains from Ohara to downtown. Location is really unbeatable, I went jogging everyday on Riverwalk whick is amazing, there are restaurants and small shops nearby, also Chicago tours - Big bus tour and Architecture tour are right near to the hotel. What I was also grateful is handwritten name on the envelope in the room with all information with a box of chockate. Loved it! The river view was also so great. In the room - there is a microwave, and a fridge, with a table and seating area, also small sofa. Also there was a water refiers on my floor. Head a gread night sleep, and will",5
Tourist53389230712,Great trip to Chciago,"The River Hotel is centrally located to all of the downtown happenings. The rooms are a little small, but extremely well kept and quite with views of the city. The club level has free wine & beer Monday thru Thursday’s in the late afternoon, and snacks all day. Other amenities (24/7 fitness room & free laundry ), help offset the valet only $53/nt parking...",5
Jeannette C,Boutique Hotel in great location,"I loved our stay at The River Hotel. The view from the room was beautiful overlooking the river. The location is right in the middle of EVERYTHING! The magnificent Mile, the art institute.. The rooms are spacious, very clean, excellent service. My favorite is the complimentary water bottles on each floor as well as complimentary tea/coffees and snacks!! Plus free wine from 5-6, five days a week :) More importantly, the Valets: Mehri, Gabi, Mike/Amir, Maher, all of them really, were absolutely the best. They were very helpful, extremely friendly and they made my trip so much easier and I felt safer. Also everyone at the reception were kind and helpful. Attached is a photo of the view from my room.",3
Sarvenaz I,Awesome Experience,"I was immediately greeted with a warm smile to a weary traveler (myself) by Pedro. He went above and beyond to make sure my stay and accommodations were satisfactory. I had a room on the 10th floor with an AMAZING view of the river. I thought I booked a superior room with a kitchenette, but for some rooms that just means a fridge and microwave. I was hoping to cook a few meals, but the Whole Foods was quite a walk, and there’s bougie restaurants everywhere. There was even a yoga mat in my room that I used for stretching and Pilates. You can’t beat this location! It’s literally in the middle of everything!! You can take a walk along the Riverwalk, you can walk to Millennium Park to see a free concert, you can walk to Water Tower place, or Oak St. beach. You can even",2
Anonymous855,"Good location, views, nice staff, teeny tiny room","i was meeting High School friends in Chicago. Three came from Cleveland, one from Florida, one living in the Chicago area and myself. I was traveling from the Bay Area. We loved staying at the River Hotel. The rooms were spacious for 3 of us. It was centrally located. The staff was friendly and helpful.",1
908priscillan,Trump,"River Hotel is next to the Wyndham and a very short walk to Riverwalk or Michigan Avenue. Lots of great restaurants and sites within walking distance or short cab ride or Uber. I almost changed my mind about staying here when I read some negative reviews complaining about the room size. Am glad I didn't. Yes, the rooms are small but they are updated and have the basics. One feature I really liked was the free water bottle stations near the elevators. You can grab an empty bottle, fill it and go. No charge like the chain hotels. The fitness center has up to date equipment, including a Peleton bike. There are also laundry facilities available for guests. Free wine and cheese happy hour every day at 5 pm. Great staff - go out of their way to help guests.",3
Alcoves,Excellent location,"Great Location and very convenient Hotel Amenities Rooms Clean and easy Access to most place In front of the River walk and Michigan Street, Millennia Park, The Art Museum The beautiful rooftop Patio next to the River Hotel",4
Curiosity25701181478,Great room - nice quiet hotel,"We usually go for a moderate priced hotel with location being most important. I was delighted by the riverside location (albeit a lot of panhandling street people). The staff was gracious and were able to put us in a river front view room on request but it was old and very small. We had to change rooms midway through our stay and they moved us into a bit better room. The restaurant shown on the website is now a block away at the Hilton Garden Inn. There are two other restaurants a step from the door. We ate at the Corner Bakery quite a bit (fresh, quick & inexpensive). The coffee machine in the 2nd floor lounge is nice and the wine hour at 5 pm a pleasant perk. Overall, it is not luxurious but it was worth what they charge and it is convenient.",5
Mary B,Review River Hotel,"The room was small but pleasant. Quiet. I wish the windows has been able to open, and the coffee machine on the 2nd floor did not always work. Most annoying, but something that nothing can be done about, is the big TRUMP building across the river that you cannot miss all day, every day.",3
Chris K,Great location but room could have been better,"Excellent location, immediately on the river when you head out. Very friendly staff. Historical building so some very small issues (not enough lifts, which can't be changed!). Great room service (we only had breakfast).",3
Bj K,"Nice location, not much else, eager to leave","Got to stay in a very quiet room with wraparound views in the tower. Loved it. Staff were helpful throughout my stay. The hotel has on olde-worlde charm which modern corporate boxes lack. Great value for money, great location.",5
Quest40276182330,"Worthless snack breakfast, tiny rooms!","Hotel was in a good location. Male clerk at desk( do not have the card anymore) very helpful and accommodating. Female clerk not as much. Room was small, bathroom small. Overlooked an alley where we could see garbage cans and hear the garbage pickup in the early AM!",5
Tourist20661156942,"Overpriced for an average, tiny room - Save your $$",This hotel is in an excellent location. Check in was quick and the staff were friendly. There is a great second floor area with coffee and snacks which was really good for the evening and also in the morning where there was fruit and cereal bars in the morning. Our room was quite small and felt like it would be suitable for one person but not so much two people as one side of the bed had no plug sockets or bedside table and there was not much room to get around the bed. The bathroom was ok and nice toiletries. There was a coffee make. There was not a safe in the room. Overall an excellent location but would need to pay more for a better room here I think rather than just book a standard room if you want a really good stay.,3
Erica,Nice Hotel in a Fantastic Location,"One more night and I’m done! If you want food or cleanliness, go elsewhere. The food is through a Seamless account that has not worked for two days in a row. Call the desk for help, as directed, and get told you must be the issue. They have not updated their in-room dining menu to account for the fact that the hotel’s restaurant closed some months ago. There are plenty of wonderful expensive restaurants in the area, but for a businessperson who just wants to eat quickly in the room, no room service is a problem. Seamless is no good if the hotel is the weak link in the chain, I can use my own account! Dirty towels and linens. A lovely man called at 10pm to apologize and offered to send someone up. I declined, as it was late (I had made the complaint in reply to an auto-email",2
2010LUIH,Enjoyable stay,"My stay was 1 night only, hotel was clean but overpriced for room size and breakfast offered. Upgrade to a deluxe for comfort but expect to buy breakfast elsewhere. Could not locate hotel restaurants or any friendly staff. Awful granola bar for breakfast and piece of fruit.",1
Maps31987639992,Loved my stay!,"I'm pretty sure my dorm room was the same size 20 years ago. Shocking this is considered a 4 star. I'd give it 3 for the location and 2 for the room - the shower was a curtain with a tiny lip ledge...how in the world does this get ranked as 4 stars?! The iron and ironing board (which was stained, ripped and old) were kept in the hallway and not even in the room. My view of the concrete wall next door was peaceful. Ugh. The more I write, I can't believe I'm giving you 3 stars. Save your money - book on the gold coast and walk to where you need to be.",3
Renata Jansen,The best location,"My friend and I visited on Memorial Day Weekend. We had the Double/Double room. It was clean, nice and spacious. Our bathrooms were a little small, but the space was well utilized. The room itself was clean and big for hotels in that area. It looked like it had been two rooms with a wall knocked out and a sliding door added. We each had our own bathroom, which was great. The walls were thick and I think that the only time we heard our neighbors were one time when they were coming or going. Otherwise, we wouldn’t have known anyone else was around us. The rooms have wireless locks, and there was an option to add it to your phone via the app. I wish I would’ve tried it, but I didn’t. There were also refillable water bottles near the hotel in each floor. The idea was cool and we",4
Tanya S,Excellent choice of hotel,"The hotel’s location is strategic and within walkable distance to millennium park.The room was comfortable and the complementary toiletries were of good quality. We were so lucky and grateful to have the river view room. Love the convenience of the water stations provided. However, I found that complementary coffee was not refilled on some days although it has run out and couldn’t help to notice the dusty charge port , tissue paper box and fittings in the bathroom...the dust remained with us from the first day we checked in until a few days later when we checked out. Surely there’s a checklist in maintaining the quality for housekeeping right ?",5
OhioLaxDad,Quick Overnighter,"Although my stay was only 2 nights, I loved it! My room was clean, large, and had a good view of the city. I loved having complimentary water & coffee after exploring the city. I would definitely recommend to friends & family & will look for a Club Quarters Hotel in my next trip!",3
Garrett L,Cry Me a River,"We stayed at the River Hotel for 5 nights. The bedroom was very clean, the shower was very good, a bit outdated, but this was not a problem for us. The bed was not queen size, it was double. The location is excellent, close to all main attractions, and with a spectacular view of the river. Staff was very friendly. The building next to it, London House has a beautiful view of the region (go to the rooftop).",3
Explore36933610065,Highly satisfied,"I enjoy being in this hotel from the first moment of my arrival there. You cannot find better location: on the river, across from the Trump Tower, the second building from the Michigan Ave; Big Bus stop in front of the hotel. But what makes this hotel special it is its service. I want to thank Nicaletta, Mila, and Pedro, as well as everyone who works there. I am highly satisfied and highly recommend this hotel.",5
Keystoneup,Great hotel for a night,"Stayed at the River Hotel on a on night business trip. First, the good - dropped the car with the valet ($53.00 fee) right at the front door, check in was quick and efficient, hotel staff was friendly and helpful, and the bed was very comfortable. Location is ideal, the entire city is walkable from here. Now the not so good - the room was microscopic, think cruise ship small, 150 square feet or so. I traveled alone and for only one night so this was not a big deal. Multiple nights or travelling with another person and the room size/bathroom size would be problematic. One of the two elevators was down, leading to long wait times and frequent stops. Room had a coffee maker and hairdryer but the towel quality and limited room furnishings were not top shelf. There was really no",5
maceng-chattan,Good place to stay at a good price,"I stayed at the River Hotel for a night when in Chicago for business. This hotel was fairly average overall. On the plus side, River Hotel offers free snacks and wine. The internet works well, and the lobby has ornate, high-class decor! Unfortunately, this place has some drawbacks too. The rooms are quite tiny and very pricey. One of the elevators was down while I stayed which made for very long trips from my room to the lobby. The beds are not all that comfy. Lastly, I couldn't see any rivers from my room. The hotel is located in the heart of downtown Chicago, so you could walk to quite a bit of the city from here. Parking is $53/night, so I'd definitely recommend taking public transportation here. There are easily worse hotels out there, but in a city as large as",3
Donna,Great helpful staff,"I use a walker and the staff were especially considerate and helpful. The bed was good and they brought up soft pillows on request. Bathroom clean w/ walk-in shower. Great location. One of the elevators wasn’t working for the 3 days we were there, but it allowed for some special closeness in the elevator at the evening hours :-)",2
RowenaH,"Good hotel, but do not use their car service!","We had tickets for a concert at the Chicago Theatre. River Hotel was only a short walk away. Plenty of restaurants close by also. We had a view of the river, staff was helpful and friendly. Rooms were small but about what we expected for the location and rate we paid. Clean room, comfy bed and great shower. Perfect for our needs. Oh yeah...complimentary wine at five!",1
Tour08099555858,great stay,"We enjoyed ourtwo nights here. The room was perfect, well equipped. No restaurant, but breakfast possibilities on the first floor, And wine-tasting nightly at 5 - ideal! The hotel is ideally placed for central Chicago, and the Big Bus Tour has a stop directly opposite - the hotel sells tickets at a discount too.",3
Cathy N,Average Hotel with central location,"My husband & I had booked a regular room here for the weekend after our daughter's graduation from bootcamp. She originally planned on staying with her friend in a nearby hotel, well, her friends flight got cancelled and plans changed the night before our stay. Pedro was incredibly accommodating and helpful I must say! He found us a room the day of, that fit 3 people, with an actual bed for my daughter, not a pull-out or a cot. My girl was just looking forward to some good sleep and because of Pedro and The River Hotel, she got it! =)",4
Kutluğ A,Rip Off in Chicago,"We were welcomed in a very friendly manner by the staff and they did their best to give us rooms close to each other. We visited with a party of 4 and although we all booked the same room they differ a lot in size. Apparently I had the biggest room with microwave and all (1101) and my colleague the smallest no fridge no microwave (1104). To me not completely fair to pay the same price. Other than the different sizes the rooms are clean, the beds are good and they are well maintained! The location was perfect for us. In good walking distance of the office and all shopping streets like State and Michigan. There were some nice breakfast places around the corner and the bean is also close by. The only real negative I have is regarding the airport service. We asked the reception to",5
Felicia C,A quiet corner,"The River location is fantastic as it allows you to experience the river and easy access to both sides of the River. Shops, restaurants, entertainment and easy to walk about in a great city. An enjoyable and pleasant stay.",3
soothinginspirations,Quiet,"Stayed here over Easter weekend 2019. This is your average budget hotel with a central location. Pros: - Location is central, right by river north, within walking distance to a lot of the major tourist attractions - Front-desk agents were nice, valet people were nice - Free coffee on the 2nd floor and refillable bottled water on every floor - Friendly cleaning staff/maids - always greeting you, you can tell they work hard - Bed was comfy - Cons: - Small room, the carpets looked dirty, no view - Only 1 elevator working to service 30+ floors. You can imagine the incredibly long waits - No fridge in room, this is the first hotel where I have experienced this",3
Carlo,Nice alternative,"We came to River Hotel after an 8 hours journey from Minneapolis. We made our reservation through Bookings.com. When we attempted to check in we were told that one of our room reservations was missing. After a long discussion we were able to convince the staff that the reservation did exist and was already paid for. When we took our rooms we were shocked to see that we could not see outside--that is how dirty the windows were. One of the rooms had a toilet left with excrement residues. The coffee machine was broken. The heating did not function. When we complained and finally decided to call Bookings.com, we were given the option of 'take it or leave it!' Bookings attempted to redirect us to another hotel some one hour outside of Chicago at a neighborhood called Garfield",5
murtscru,Great Location,"Beautiful 'old' yet new, quiet place to stay in busy downtown Chicago. (cool old post box - for mailing letters - next to the elevators.... and gorgeous architecture throughout!) Mine was only one of two rooms on the 38th floor, with a beautiful view of the river. The happy hour was a nice touch... with better than average pours to be taken back to my room as I got ready for dinner. Close to everything, but a quiet corner to recoup from a busy work day!",5
PBOGoingPlaces,Towering heights,"Great place! Small hotel, very quiet. Perfect location and great price. Lots of little extras. A free wine hour, a snack bar with tasty treats for each mealtime. The best was the bottle filler on each floor. I would stay here again!",3
Kermit753,"Great hotel, great location.","Chicago is a regular destination for business for me. This hotel is a great alternative when the other chains are full or rates are to high. Nice rooms, staff, and amenities. Enjoyed the free coffee in the morning, and wine/snacks in the evening. Room views are awesome. The one complaint beds are lumpy.",2
Elle_01234,"Good value for money, amazing location","Great central location. Good basic hotel. Room I stayed in was reasonably sized. Office table chair didn’t work well and was stuck in the ‘down’ position. Bathroom wasn’t 100% clean with fittings under sink a bit grimy. Hotel a bit dated and the door staff probably want to be a bit friendlier. First World problems but when you’re paying good money you want the room to be excellent, not average.",1
Woodland42,Good but the rooms are tiny,"This place is great. We stayed in one of the tiny rooms in the tower. The room was well-equipped for the small space. They did a great job of including everything you need in that small space. I would have given them a rating of 5, but the bed wasn't that great. It was comfortable, but if either of us moved, the whole bed shook. Makes for a not-so-great night of sleep if you're not used to that sort of thing. I feel that if they would invest in a better bed, that place would be a 5 for sure. The 2nd floor free coffee and snacks were greatly appreciated. Everything else was spot on.",3
Lisa richards,Good stay,"I stayed three nights at this hotel on a recent business trip. The location was great--walkable to a bunch of restaurants and touristy locations. The room had everything I needed. Nice desk area, clean bathroom, fridge and microwave. I appreciated the filtered water station in the hallway. The staff was excellent both when checking in and when I was leaving. I'd definitely stay here again.",4
MariPTravels,Concert with a One Night Stay!,"The best feature of this hotel is its location. It is within walking distance from most major attractions, restaurants and shops. To your left there is a 7-11. To your right there is Corner bakery, a sea food restaurant, a Fannie May, a Starbucks, a protein bar etc. The Magnificent mile, the Millennium park, the Art Institute, the river walk, the 360, the water tower, the lake and the Loop (with street sculptures and theaters) are walking distance from the hotel. The standard room that I stayed in was clean, it had a fridge for your stuff, and filtered water across the elevators. Everything worked just fine. I would say that the hotel and the rooms seem a little tired and out of date. Also, the shower was either too hot or too cold, it was a bit difficult to get the right",5
janetB05,Nurse seminar,"First of all the positives - friendly staff, great location on the river and close to N Michigan Ave. I liked the guest lounge on floor 2 with free coffees and snacks, and also the water filling stations on each floor. That was a huge bonus. The downside was the size of the rooms. I stayed in a club room with a queen bed and it was like staying in a wardrobe. The closet was tiny and weirdly there was a yoga mat in there - but there was no space in the room to even use it!",3
FarAway42343155810,Loved it.,"Great location, clean rooms, good view. Would recommend and stay again! Blues club are proximate and a big range of restaurants around. Everything was walking distance. Check in was quick and easy as well as check out.",3
JCSdc,"Quaint, unassuming and great location","My husband and I attended a concert at the Chicago Theater and stayed at the River Hotel for the night. The check in and valet were seamless. The staff is friendly. The hotel was a 3 to 4 block walk to the theater which was super convenient. The decor and room was beautiful. I didn’t take pictures of the room which is surprising since I typically do, but you won’t be disappointed. No tub. Stand up shower only. Clean and modern! We will definitely come back to this hotel.",5
ttamian83,Great Establishment!,"Excellent location. Upon checking in, staff are professional and efficient. I had a great view of the Chicago River. On the second floor there were beverages and snacks. Also, bottled water free of charge. I highly recommend and will be a returning customer on my next business trip.",5
amberjayf,The Chicago Loop,"The location is awesome! The staff is amazingly accommodating and helpful. The hotel was very clean and the views are amazing. My room was cozy, but not too small. Just right for this trip. I will definitely be returning!",3
Getaway36388702812,Poor conditions!,"The River Hotel knows itself. It knows what travelers need and want and it does it at a great price. Great location, wonderful views of the river. Attentive check in staff. Clean and functional rooms and no issues with external noise. I love this place and like how close it gets to to most places in the Loop. Already looking forward to my next visit.",2
Jordan T,"Great value, accommodating to baby!","I couldn't have asked for a better experience. The people at the desk were more than friendly. Other than a dirty window that killed the view a little bit, I have no complaints and would happily stay there again. In fact, I'm planning my honeymoon in Chicago and have full plans on returning to this hotel.",1
Grit,River Hotel or Club Quarters?,I've stayed at the River Hotel twice now and both times we had great experiences. We were lucky enough to have great views on both occasions. You really can't beat the location and the staff are friendly and effective.,3
Discover21799882769,Excellent,Hotel staff extremely rude would not help us with are room it was 78 degrees sleeping was very difficult air conditioning did not work staff would not move us or comp us multiple people in the hotel was in the same situation are stay was for 2 days was not enjoyable.,4
TravelingIman,Bad rooms,"Great value for the location, cleanliness, and staff assistance. Valet is less than helpful and expensive (in fairness it’s average based on neighboring rates). Smaller rooms, but it’s ok for the price. Elevators are very slow. Overall I was satisfied with the stay. They were VERY ACCOMPDATING FOR BABY. Provided high chair and pack-n-play.",5
Brooks,Great Stay - Great Staff,"For the second time, I reserved with River Hotel but was checked in to Club Quarters. The difference? CQ rooms are on the higher floors - which is a problem when occupancy is high and one of the elevators is out. (Not an issue this time!) Updated rooms are nice enough, though small. Clean. Attentive staff. Un-fussy option in a convenient location.",3
Adventure64296773240,"Great location, poor rooms",Everyone was extremely helpful and friendly! Hotel was within walking distance of everything we needed! Front desk showed us where we needed to go and also provided bandaids for me when I didn’t have any!,3
Flyer24348983124,Very nice especially for the price!,"If you would like to stay in a room that has the decor of a dirty 80s room with annoyingly white lighting, then please be my guest! Staff is nice though and I did appreciate the complimentary coffee, fruit and snacks on the 2nd floor.",5
Ann1958_12,3 nights in Chicago,This hotel was the perfect place to stay on my business trip. Room was great. Great location. Staff was very accommodating (Pedro was excellent) and went out of their way to be helpful. I highly recommend this hotel for business travel.,5
Autumn K,BE WEARY OF ELEVATORS,"Location was great, rooms were average with below average bedding. Parts of drawers were coming off, restaurant was no longer on site, which we anticipated for dinner. Staff was very friendly and helpful though.",3
